title,author,first_published,edition
The Book Thief,byMarkus Zusak,1998,107 editions
The Song of Achilles,byMadeline Miller,2011,31 editions
The Bachman Books (Long Walk / Rage / Roadwork / Running Man),byStephen King,1985,19 editions
Lolita,byVladimir Nabokov,1955,134 editions
Fire & Blood,byGeorge R. R. Martin,2018,19 editions
Alice's Adventures in Wonderland,byLewis Carroll,1865,3545 editions
Laut Bercerita,byLeila S. Chudori,2017,1 edition
The Maze Runner,byJames Dashner,2009,20 editions
... Trotzdem Ja zum Leben sagen,byViktor E. Frankl,1946,100 editions
Little Women,byLouisa May Alcott,1848,1887 editions
The Giver,byLois Lowry,1993,105 editions
Autobiography of a Yogi,byYogananda Paramahansa,1946,182 editions
The Kite Runner,byKhaled Hosseini,2003,108 editions
Trading in the zone,byMark Douglas,2000,4 editions
"Men are From Mars, Women are From Venus","byJohn Gray,John Gray, andJohn [Ph.D] Gray",1992,78 editions
Las 48 leyes del poder,byRobert Greene,1998,3 editions
Throne of Glass,bySarah J. Maas,2012,25 editions
Married at first sight,byGu Lingfei,2015,5 editions
Steve Jobs,byWalter Isaacson,2011,47 editions
Eat That Frog! 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,byBrian Tracy,2001,55 editions
Misery,byStephen King,1978,99 editions
Brave New World,byAldous Huxley,1932,508 editions
Milk and Honey,byRupi Kaur,2014,12 editions
Bumi,byTere Liye,2014,1 edition
Surrounded by Idiots,byThomas Erikson,2019,6 editions
The Courage To Be Disliked,byIchiro Kishimi and Fumitake Koga,2018,1 edition
Lord of Flies,byWilliam Golding,1954,186 editions
Dracula,byBram Stoker,1897,730 editions
King of Sloth,byAna Huang,2024,4 editions
Charlie and the Chocolate Factory,byRoald Dahl,1964,213 editions
The Daily Laws,byRobert Greene,2021,7 editions
Carrie,byStephen King,1974,112 editions
The Great Gatsby,byF. Scott Fitzgerald,1920,1174 editions
Psicología oscura,bySteven Turner,2019,2 editions
The Lost Hero,byRick Riordan,2010,41 editions
Save Me,byKasten  Mona,2018,1 edition
The Mountain Is You: Transforming Self-Sabotage into Self-Mastery,byBrianna Wiest,2020,3 editions
Push,"bySapphire,Tayari Jones,Sapphire, andSapphire, Lofton, Ramona",1996,19 editions
Het Achterhuis,byAnne Frank,1944,265 editions
Reminders of Him,byColleen Hoover,2022,6 editions
Study Guide,bySuperSummary,2017,619 editions
Cien años de soledad,byGabriel García Márquez,1967,203 editions
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,byMTG Editorial Board,2020,3 editions
Ignite Me,byTahereh Mafi,2014,9 editions
The Eye of the World (The Wheel of Time Book 1),byRobert Jordan,1990,68 editions
Don't Believe Everything You Think,byJoseph Nguyen,2022,6 editions
Matilda,byRoald Dahl,1988,149 editions
